,height,time,type,date,datetime,moonphase
347,-0.4912986940675029,19:46:00,low,2021-05-08,2021-05-08,0.88
348,-0.5887929490832549,08:14:00,low,2021-05-09,2021-05-09,0.92
349,-0.522861353282794,20:16:00,low,2021-05-09,2021-05-09,0.92
350,-0.6180958767089786,08:41:00,low,2021-05-10,2021-05-10,0.95
351,-0.5404204163287625,20:43:00,low,2021-05-10,2021-05-10,0.95
352,-0.6338355978757291,09:07:00,low,2021-05-11,2021-05-11,0.0
353,-0.5432420902395346,21:10:00,low,2021-05-11,2021-05-11,0.0
354,-0.6348981557861172,09:33:00,low,2021-05-12,2021-05-12,0.02
355,-0.5298901831226068,21:38:00,low,2021-05-12,2021-05-12,0.02
356,-0.6186339209589709,10:00:00,low,2021-05-13,2021-05-13,0.06
357,-0.4992995022477157,22:07:00,low,2021-05-13,2021-05-13,0.06
358,-0.5828285349642769,10:29:00,low,2021-05-14,2021-05-14,0.09
359,-0.451825039826623,22:39:00,low,2021-05-14,2021-05-14,0.09
360,-0.5273636742629709,11:01:00,low,2021-05-15,2021-05-15,0.12
361,-0.3899335485784719,23:15:00,low,2021-05-15,2021-05-15,0.12
362,-0.4552250783057244,11:39:00,low,2021-05-16,2021-05-16,0.16
363,-0.3193750783420441,00:01:00,low,2021-05-16,2021-05-16,0.16
364,-0.3738112705301031,12:25:00,low,2021-05-17,2021-05-17,0.19
365,-0.253665185825788,01:03:00,low,2021-05-17,2021-05-17,0.19
